	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Plxnb2	168.4204952	-3.058405747	0.216777838	-14.1084798	3.37E-45	6.30E-42
Gapdh	11511.55293	0.549686626	0.100560153	5.466246919	4.60E-08	4.30E-05
Slc25a5	3357.889959	0.5425679	0.102673319	5.284409843	1.26E-07	7.87E-05
Rn18s	337.5639902	1.270424761	0.249461429	5.09267011	3.53E-07	0.000132113
Zbtb20	134.6966445	1.154125762	0.22659893	5.093253369	3.52E-07	0.000132113
Aip	76.40043329	-1.154682932	0.263310737	-4.385248179	1.16E-05	0.003612702
Gnai2	1226.371076	0.907079014	0.227480189	3.987507737	6.68E-05	0.016106187
Gstt2	136.3936609	0.773002535	0.194213555	3.980167783	6.89E-05	0.016106187
Atf4	233.882409	-0.624055857	0.160477029	-3.888755056	0.00010076	0.020946831
Actb	5747.581611	1.151827953	0.306732979	3.755148711	0.000173239	0.030920878
Cd79b	6103.125457	-0.458500445	0.123003846	-3.727529337	0.000193366	0.030920878
Ppp2r4	84.242561	-0.903189606	0.242717797	-3.721151143	0.000198317	0.030920878
Npm1	2869.919751	0.534801419	0.148201242	3.608616295	0.000307835	0.044304491
Hip1r	111.730684	-0.988270197	0.277114592	-3.566287112	0.000362075	0.045162782
Rbm3	894.3425539	0.572412332	0.160034568	3.576804313	0.00034782	0.045162782
Blvrb	787.8562758	0.582258925	0.16618798	3.503616354	0.000458986	0.053672686
Oxa1l	174.3847577	-0.665964349	0.190973133	-3.487214863	0.000488079	0.053717408
Psmd11	201.8427226	0.680095848	0.197901643	3.436534616	0.000589207	0.058021389
Smc4	107.723916	1.020290745	0.29597734	3.44719209	0.000566446	0.058021389
Srebf2	76.73094112	-0.914744737	0.271951092	-3.363636932	0.000769227	0.070749847
Trpc4ap	57.81220265	-0.984195149	0.293365242	-3.3548458	0.000794092	0.070749847
Hnrpdl	115.2703364	0.849542736	0.254552614	3.337395452	0.000845675	0.071920841
Gng10	107.629548	0.662986165	0.200579346	3.305356107	0.000948558	0.073270078
Itpr3	133.566557	-0.757242642	0.230068197	-3.291383392	0.000996959	0.073270078
Psma4	315.9292556	0.523052174	0.159202433	3.285453389	0.001018184	0.073270078
Sfpi1	182.4266988	-0.626937062	0.189563781	-3.30726185	0.000942128	0.073270078
Cd19	626.9554281	-0.422424521	0.130964629	-3.225485562	0.001257592	0.079662957
Itm2b	113.6583309	0.780787586	0.242378248	3.221359975	0.001275838	0.079662957
Mrpl49	61.35176009	-0.923346337	0.285163911	-3.237949478	0.001203921	0.079662957
Top1	81.16301755	0.962173239	0.298716523	3.221024497	0.001277332	0.079662957
A430107D22Rik	67.783683	-0.87668044	0.274891815	-3.189183501	0.001426753	0.084228214
H2afz	443.4048978	0.533695927	0.167664243	3.183123105	0.001456957	0.084228214
Letm1	120.0469455	0.638077745	0.200812223	3.177484597	0.001485586	0.084228214
LOC100503910	330.6973084	0.459180514	0.145562191	3.154531482	0.00160756	0.085935582
Mtdh	62.60448357	1.211273603	0.383302716	3.160096584	0.001577168	0.085935582
Tbrg1	60.14515749	-0.826179711	0.26543246	-3.112579799	0.001854599	0.096387615
