GeneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cd97	958.249438009032	-3.13645765730161	0.235284560587229	-13.3304864946241	1.53890834525638e-40	1.590615665657e-36
H2-Q9	1980.48354537625	-2.28110177920354	0.174025424161556	-13.107865073128	2.96837191097732e-39	1.53405460359308e-35
Cd38	887.125936935272	-2.6358301077909	0.206714611630862	-12.7510585100671	3.07540806806605e-37	1.05958059305102e-33
Cd1d1	191.959045132176	-4.47154336613252	0.361228881196289	-12.3786983790555	3.40825404972688e-35	8.80692846449427e-32
Ly6d	5209.61806814444	-2.18440955796321	0.181445033825624	-12.0389602950638	2.21732545249832e-33	4.58365517540452e-30
Emr1	98.0261087791494	-4.38480382084527	0.370628383330648	-11.8307286167381	2.7078102991517e-32	4.66465454200534e-29
Arhgef18	411.587465833084	-3.81950603027078	0.323928720418349	-11.791192906075	4.33358892020783e-32	6.39885358275259e-29
Plac8	1889.50321935813	-4.05188106666284	0.352536078269798	-11.4935217029388	1.42194484191593e-30	1.83715273575538e-27
Capg	1024.22315351719	-2.51344876023456	0.220790453095608	-11.3838652215011	5.03190031487013e-30	5.77885796161085e-27
Shisa5	7324.21581836778	-1.39200335056337	0.126197990126589	-11.0303131544889	2.72913086503097e-28	2.82082966209601e-25
Cmah	433.943243729309	-2.115279668659	0.194696312451706	-10.8645081256158	1.70137523293414e-27	1.5986740370552e-24
Tmem154	110.302288622936	-3.92364440147546	0.368910562225733	-10.635760542618	2.03164352022324e-26	1.74992228541895e-23
B2m	21812.5340082537	-1.1895667355576	0.113748960033701	-10.4578251546665	1.34916856752655e-25	1.07269279338111e-22
Gm11346	61.1366652669499	-4.03046293835369	0.392755869663466	-10.2620056112903	1.04513142197555e-24	7.71605598395661e-22
S1pr1	480.510790052938	-3.74569333580976	0.371184824541227	-10.0911812341448	6.04378027690071e-24	4.16456752946972e-21
Gpr183	281.561163363478	-3.03819213086857	0.301389131935092	-10.0806293556826	6.72936988693481e-24	4.34717294695989e-21
Bcl2	323.325679422645	-2.92268633937279	0.292813293761907	-9.981399074556	1.8385582174873e-23	1.11784339623228e-20
Fam46a	63.826661868411	-3.77480185755038	0.391592696913983	-9.63961250375295	5.43929095813205e-22	3.12336174129183e-19
Tspan32	884.698064854801	-1.23808165920142	0.132344199877402	-9.35501261368709	8.35897419629268e-21	4.54728196278322e-18
Mndal	560.778186414423	-2.60142805949927	0.284705589836067	-9.13725670436317	6.4056589387261e-20	3.31044453953365e-17
Ptpn14	46.4656137945293	-3.53164372615611	0.394344756395817	-8.9557263508058	3.37506179175812e-19	1.66117327045771e-16
Fam43a	303.257879581229	-3.12309773583323	0.350299586400527	-8.91550506217934	4.85597825845368e-19	2.28142687633533e-16
Itm2b	2234.49781559261	-1.64356556188779	0.186193727849554	-8.82718006062913	1.07347905250312e-18	4.82412151594445e-16
Sub1	525.731941569345	-2.39588387017662	0.277835822424128	-8.62337998488618	6.50062998241736e-18	2.79960464576108e-15
Marcksl1	3152.70490555147	1.14862488492424	0.134483739020113	8.54099457148834	1.33071466780566e-17	5.5017067225757e-15
Tmem163	52.4396333180398	-3.38172165225343	0.397737570756724	-8.50239429435712	1.85719749184438e-17	7.38307433680905e-15
Ly6a	2738.31349208394	-1.50424357640397	0.178372380123827	-8.43316423405756	3.36442020241905e-17	1.28794989674827e-14
Cd55	334.4715532295	-2.7183773457003	0.32469170300317	-8.37217988805138	5.6562011363266e-17	2.08794624803828e-14
Fgd2	1572.84879400556	-1.53719265144298	0.184186633400388	-8.3458426003227	7.07079278246277e-17	2.52012807584604e-14
Pml	938.328194587982	-3.08568740131103	0.372044239224647	-8.29387227643065	1.09620156581724e-16	3.77677979476233e-14
Ifi203	280.531275510706	-2.52159548205929	0.308195698775616	-8.1817997203626	2.796355514379e-16	9.32359051503914e-14
Klf2	1011.66987195045	-2.78048989037348	0.341764092116116	-8.13569931573968	4.09567195966236e-16	1.32290204297094e-13
Hck	364.630714298916	-3.17475834084643	0.391315745947064	-8.11303499470194	4.93708453037632e-16	1.54635471836272e-13
Gsdmd	464.60137099883	-1.50531404177508	0.190634798074116	-7.89632353055417	2.87250476005509e-15	8.73241447056749e-13
Eaf2	2220.85674656512	1.43624756623997	0.182992384034019	7.84867399712641	4.20458986136705e-15	1.22684331931504e-12
