x,y
0,0
0.1,90.56837864
0.2,180.8257317
0.3,270.7657222
0.4,360.3819424
0.5,449.6679149
0.6,538.6170931
0.7,627.2228617
0.8,715.4785375
0.9,803.3773707
1,890.9125447
1.1,978.0771781
1.2,1064.864325
1.3,1151.266976
1.4,1237.27806
1.5,1322.890444
1.6,1408.096936
1.7,1492.890284
1.8,1577.263181
1.9,1661.208261
2,1744.718105
2.1,1827.785243
2.2,1910.402149
2.3,1992.561253
2.4,2074.254931
2.5,2155.475518
2.6,2236.215301
2.7,2316.466527
2.8,2396.2214
2.9,2475.472089
3,2554.210724
3.1,2632.429401
3.2,2710.120187
3.3,2787.275117
3.4,2863.8862
3.5,2939.94542
3.6,3015.44474
3.7,3090.376104
3.8,3164.731437
3.9,3238.502653
4,3311.681655
4.1,3384.260335
4.2,3456.230583
4.3,3527.584286
4.4,3598.313331
4.5,3668.40961
4.6,3737.865023
4.7,3806.671481
4.8,3874.820907
4.9,3942.305243
5,4009.116451
5.1,4075.246519
5.2,4140.687462
5.3,4205.431326
5.4,4269.470194
5.5,4332.796187
5.6,4395.401468
5.7,4457.278249
5.8,4518.418791
5.9,4578.815408
6,4638.460477
6.1,4697.346433
6.2,4755.46578
6.3,4812.811092
6.4,4869.375017
6.5,4925.150284
6.6,4980.129702
6.7,5034.306171
6.8,5087.672679
6.9,5140.222314
7,5191.94826
7.1,5242.843808
7.2,5292.902357
7.3,5342.117419
7.4,5390.482626
7.5,5437.991728
7.6,5484.638604
7.7,5530.417263
7.8,5575.32185
7.9,5619.346648
8,5662.486085
8.1,5704.734738
8.2,5746.087334
8.3,5786.53876
8.4,5826.084063
8.5,5864.718457
8.6,5902.437323
8.7,5939.23622
8.8,5975.110883
8.9,6010.057231
9,6044.07137
9.1,6077.149596
9.2,6109.2884
9.3,6140.484474
9.4,6170.73471
9.5,6200.03621
9.6,6228.386283
9.7,6255.782456
9.8,6282.22247
9.9,6307.704291
10,6332.226108
10.1,6355.786338
10.2,6378.383629
10.3,6400.016864
10.4,6420.685162
10.5,6440.387886
10.6,6459.124636
10.7,6476.895261
10.8,6493.699857
10.9,6509.53877
11,6524.412597
11.1,6538.322191
11.2,6551.268657
11.3,6563.253363
11.4,6574.27793
11.5,6584.344242
11.6,6593.454445
11.7,6601.610944
11.8,6608.816409
11.9,6615.073773
12,6620.386232
12.1,6624.757247
12.2,6628.19054
12.3,6630.6901
12.4,6632.260176
12.5,6632.905282
12.6,6632.630193
12.7,6631.439942
12.8,6629.339825
12.9,6626.335395
13,6622.43246
13.1,6617.637083
13.2,6611.955581
13.3,6605.39452
13.4,6597.960714
13.5,6589.661223
13.6,6580.503348
13.7,6570.494632
13.8,6559.642852
13.9,6547.956021
14,6535.442379
14.1,6522.110393
14.2,6507.968752
14.3,6493.026364
14.4,6477.292351
14.5,6460.776042
14.6,6443.486975
14.7,6425.434888
14.8,6406.629714
14.9,6387.081576
15,6366.800788
15.1,6345.79784
15.2,6324.083401
15.3,6301.668311
15.4,6278.563573
15.5,6254.780354
15.6,6230.32997
15.7,6205.223892
15.8,6179.473728
15.9,6153.091227
16,6126.088269
16.1,6098.476858
16.2,6070.269119
16.3,6041.477288
16.4,6012.113711
16.5,5982.190834
16.6,5951.721198
16.7,5920.717432
16.8,5889.192249
16.9,5857.158437
17,5824.628854
17.1,5791.616423
17.2,5758.134123
17.3,5724.194984
17.4,5689.812082
17.5,5654.99853
17.6,5619.767472
17.7,5584.132081
17.8,5548.105545
17.9,5511.70107
18,5474.931864
18.1,5437.811138
18.2,5400.352096
18.3,5362.567931
18.4,5324.471817
18.5,5286.076904
18.6,5247.39631
18.7,5208.443117
18.8,5169.230366
18.9,5129.771045
19,5090.078091
19.1,5050.164378
19.2,5010.042713
19.3,4969.725834
19.4,4929.226396
19.5,4888.556974
19.6,4847.73005
19.7,4806.758015
19.8,4765.653157
19.9,4724.427658
20,4683.093592
20.1,4641.662914
20.2,4600.14746
20.3,4558.558939
20.4,4516.90893
20.5,4475.208878
20.6,4433.470085
20.7,4391.703712
20.8,4349.920771
20.9,4308.13212
21,4266.348462
21.1,4224.58034
21.2,4182.838131
21.3,4141.132047
21.4,4099.472126
21.5,4057.868236
21.6,4016.330063
21.7,3974.867117
21.8,3933.488722
21.9,3892.204019
22,3851.021957
22.1,3809.9513
22.2,3769.000616
22.3,3728.178278
22.4,3687.492467
22.5,3646.951163
22.6,3606.562147
22.7,3566.333001
22.8,3526.271106
22.9,3486.383638
23,3446.677574
23.1,3407.159685
23.2,3367.836539
23.3,3328.714498
23.4,3289.799724
23.5,3251.098171
23.6,3212.615593
23.7,3174.357538
23.8,3136.329353
23.9,3098.536184
24,3060.982975
24.1,3023.674472
24.2,2986.61522
24.3,2949.809571
24.4,2913.26168
24.5,2876.975506
24.6,2840.954819
24.7,2805.2032
24.8,2769.724039
24.9,2734.520542
25,2699.595732
25.1,2664.952451
25.2,2630.593363
25.3,2596.520953
25.4,2562.737537
25.5,2529.245259
25.6,2496.046095
25.7,2463.141857
25.8,2430.534194
25.9,2398.2246
26,2366.214409
26.1,2334.504806
26.2,2303.096826
26.3,2271.991358
26.4,2241.18915
26.5,2210.690808
26.6,2180.496805
26.7,2150.60748
26.8,2121.023044
26.9,2091.743582
27,2062.769057
27.1,2034.099312
27.2,2005.734076
27.3,1977.672966
27.4,1949.91549
27.5,1922.461051
27.6,1895.308949
27.7,1868.458388
27.8,1841.908474
27.9,1815.658223
28,1789.706562
28.1,1764.052332
28.2,1738.694292
28.3,1713.631122
28.4,1688.861427
28.5,1664.383737
28.6,1640.196515
28.7,1616.298154
28.8,1592.686986
28.9,1569.361281
29,1546.319249
29.1,1523.559047
29.2,1501.07878
29.3,1478.8765
29.4,1456.950215
29.5,1435.297887
29.6,1413.917436
29.7,1392.806742
29.8,1371.963648
29.9,1351.385963
30,1331.071464
30.1,1311.017896
30.2,1291.222977
30.3,1271.6844
30.4,1252.399833
30.5,1233.366924
30.6,1214.583299
30.7,1196.046569
30.8,1177.754328
30.9,1159.704156
31,1141.893621
31.1,1124.320281
31.2,1106.981685
31.3,1089.875374
31.4,1072.998886
31.5,1056.349754
31.6,1039.925507
31.7,1023.723675
31.8,1007.741789
31.9,991.9773791
32,976.4279815
32.1,961.0911353
32.2,945.9643858
32.3,931.0452849
32.4,916.3313927
32.5,901.8202784
32.6,887.5095214
32.7,873.3967123
32.8,859.479454
32.9,845.7553623
33,832.2220673
33.1,818.8772138
33.2,805.7184625
33.3,792.7434906
33.4,779.9499923
33.5,767.33568
33.6,754.8982848
33.7,742.6355568
33.8,730.5452662
33.9,718.6252035
34,706.8731801
34.1,695.2870289
34.2,683.8646049
34.3,672.603785
34.4,661.5024693
34.5,650.5585805
34.6,639.7700651
34.7,629.1348929
34.8,618.651058
34.9,608.3165786
35,598.129497
35.1,588.0878803
35.2,578.1898204
35.3,568.4334337
35.4,558.8168616
35.5,549.3382706
35.6,539.9958519
35.7,530.7878219
35.8,521.7124217
35.9,512.7679173
36,503.9525998
36.1,495.2647848
36.2,486.7028123
36.3,478.265047
36.4,469.9498778
36.5,461.7557176
36.6,453.6810032
