x,y
0,92.38403699
0.1,93.91409892
0.2,95.46509363
0.3,97.03719884
0.4,98.63059119
0.5,100.2454462
0.6,101.881938
0.7,103.5402396
0.8,105.2205225
0.9,106.9229567
1,108.6477105
1.1,110.3949508
1.2,112.1648425
1.3,113.9575486
1.4,115.7732303
1.5,117.6120466
1.6,119.4741543
1.7,121.3597082
1.8,123.2688603
1.9,125.2017606
2,127.1585561
2.1,129.1393913
2.2,131.1444079
2.3,133.1737447
2.4,135.2275374
2.5,137.3059185
2.6,139.4090176
2.7,141.5369604
2.8,143.6898697
2.9,145.8678642
3,148.0710592
3.1,150.2995661
3.2,152.5534923
3.3,154.8329413
3.4,157.1380121
3.5,159.4687999
3.6,161.825395
3.7,164.2078834
3.8,166.6163466
3.9,169.050861
4,171.5114985
4.1,173.9983257
4.2,176.5114043
4.3,179.0507908
4.4,181.6165362
4.5,184.2086861
4.6,186.8272807
4.7,189.4723545
4.8,192.1439361
4.9,194.8420484
5,197.5667082
5.1,200.3179262
5.2,203.095707
5.3,205.9000489
5.4,208.7309437
5.5,211.5883769
5.6,214.4723272
5.7,217.3827669
5.8,220.3196611
5.9,223.2829684
6,226.2726403
6.1,229.2886212
6.2,232.3308485
6.3,235.3992523
6.4,238.4937553
6.5,241.6142731
6.6,244.7607135
6.7,247.932977
6.8,251.1309564
6.9,254.3545368
7,257.6035958
7.1,260.8780027
7.2,264.1776196
7.3,267.5023
7.4,270.8518898
7.5,274.2262269
7.6,277.625141
7.7,281.0484536
7.8,284.4959781
7.9,287.9675198
8,291.4628756
8.1,294.9818341
8.2,298.5241758
8.3,302.0896725
8.4,305.6780881
8.5,309.2891778
8.6,312.9226885
8.7,316.5783586
8.8,320.2559184
8.9,323.9550894
9,327.675585
9.1,331.4171102
9.2,335.1793614
9.3,338.9620268
9.4,342.7647863
9.5,346.5873116
9.6,350.4292659
9.7,354.2903044
9.8,358.170074
9.9,362.0682135
10,365.984354
10.1,369.9181181
10.2,373.8691209
10.3,377.8369696
10.4,381.8212637
10.5,385.821595
10.6,389.8375479
10.7,393.8686994
10.8,397.9146192
10.9,401.9748698
11,406.0490069
11.1,410.136579
11.2,414.2371282
11.3,418.3501899
11.4,422.4752931
11.5,426.6119605
11.6,430.7597088
11.7,434.918049
11.8,439.0864861
11.9,443.2645198
12,447.4516444
12.1,451.6473493
12.2,455.8511188
12.3,460.0624325
12.4,464.280766
12.5,468.5055901
12.6,472.7363719
12.7,476.972575
12.8,481.213659
12.9,485.4590806
13,489.7082933
13.1,493.9607481
13.2,498.2158933
13.3,502.4731749
13.4,506.7320371
13.5,510.9919223
13.6,515.2522715
13.7,519.5125245
13.8,523.7721202
13.9,528.0304968
14,532.2870923
14.1,536.5413445
14.2,540.7926914
14.3,545.0405715
14.4,549.2844239
14.5,553.5236889
14.6,557.7578078
14.7,561.9862237
14.8,566.2083813
14.9,570.4237276
15,574.6317116
15.1,578.8317851
15.2,583.0234028
15.3,587.2060222
15.4,591.3791045
15.5,595.5421141
15.6,599.6945196
15.7,603.8357934
15.8,607.9654123
15.9,612.0828577
16,616.1876155
16.1,620.2791769
16.2,624.3570381
16.3,628.4207006
16.4,632.4696718
16.5,636.5034646
16.6,640.5215982
16.7,644.5235978
16.8,648.508995
16.9,652.4773281
17,656.428142
17.1,660.3609885
17.2,664.2754268
17.3,668.1710229
17.4,672.0473504
17.5,675.9039906
17.6,679.7405322
17.7,683.556572
17.8,687.3517146
17.9,691.1255729
18,694.8777677
18.1,698.6079285
18.2,702.315693
18.3,706.0007077
18.4,709.6626276
18.5,713.3011165
18.6,716.9158472
18.7,720.5065014
18.8,724.0727697
18.9,727.614352
19,731.1309574
19.1,734.6223043
19.2,738.0881202
19.3,741.5281423
19.4,744.9421171
19.5,748.3298005
19.6,751.6909582
19.7,755.0253652
19.8,758.3328063
19.9,761.6130759
20,764.8659779
20.1,768.0913261
